Markers,species,FPKM
Tac1,Mouse DRG,1077.395833
Tac1,Mouse TG,1015.44775
Tac1,Stingray DRG,86.33
Tac1,Stingray TG,49.85
Nefm,Mouse DRG,767.064
Nefm,Mouse TG,762.3135
Nefm,Stingray DRG,53.31
Nefm,Stingray TG,222.67
Mrgprd,Mouse DRG,145.7597833
Mrgprd,Mouse TG,206.914
Mrgprd,Stingray DRG,0
Mrgprd,Stingray TG,0
Mrgpra3,Mouse DRG,82.28151667
Mrgpra3,Mouse TG,121.49125
Mrgpra3,Stingray DRG,0
Mrgpra3,Stingray TG,0
Nefh,Mouse DRG,183.083
Nefh,Mouse TG,111.669075
Nefh,Stingray DRG,0
Nefh,Stingray TG,0
P2rx3,Mouse DRG,69.33241667
P2rx3,Mouse TG,98.9806
P2rx3,Stingray DRG,51.13
P2rx3,Stingray TG,28.2
Ntrk1,Mouse DRG,84.18026667
Ntrk1,Mouse TG,77.235475
Ntrk1,Stingray DRG,3.66
Ntrk1,Stingray TG,107.91
Scn10a,Mouse DRG,74.16233333
Scn10a,Mouse TG,76.542025
Scn10a,Stingray DRG,0
Scn10a,Stingray TG,0
Isl2,Mouse DRG,58.74063333
Isl2,Mouse TG,63.873925
Isl2,Stingray DRG,0
Isl2,Stingray TG,0
Trpv1,Mouse DRG,90.84335
Trpv1,Mouse TG,53.966625
Trpv1,Stingray DRG,0
Trpv1,Stingray TG,0
Sst,Mouse DRG,71.96848333
Sst,Mouse TG,40.893325
Sst,Stingray DRG,0
Sst,Stingray TG,0
Ret,Mouse DRG,34.64936667
Ret,Mouse TG,37.803325
Ret,Stingray DRG,0
Ret,Stingray TG,0
Plxnc1,Mouse DRG,20.53728333
Plxnc1,Mouse TG,20.205475
Plxnc1,Stingray DRG,0
Plxnc1,Stingray TG,0
Trpa1,Mouse DRG,14.47327167
Trpa1,Mouse TG,17.921125
Trpa1,Stingray DRG,0
Trpa1,Stingray TG,0
Trpc3,Mouse DRG,18.88029667
Trpc3,Mouse TG,13.760375
Trpc3,Stingray DRG,0
Trpc3,Stingray TG,0
Prdm12,Mouse DRG,16.57885
Prdm12,Mouse TG,13.387425
Prdm12,Stingray DRG,0
Prdm12,Stingray TG,0
Runx1,Mouse DRG,7.286665
Runx1,Mouse TG,7.7032875
Runx1,Stingray DRG,0
Runx1,Stingray TG,303.09
Tlx3,Mouse DRG,0.833039833
Tlx3,Mouse TG,0.998935
Tlx3,Stingray DRG,21.45
Tlx3,Stingray TG,32.81
